name	total_duration_ms
aten::cumsum	7988600.358
aten::remainder	5008773.398
aten::gt	2808207.29
aten::bmm	2579332.88
aten::to	1989794.686
aten::mul	1374722.416
aten::sum	1352878.658
aten::where	806847.11
aten::logical_or	218598.519
aten::topk	153366.709
aten::bitwise_not	153145.307
aten::rand	102125.405
aten::scatter_	86480.135
aten::zeros_like	81142.204
aten::lt	65322.08
aten::unsqueeze	14800.182
aten::select	10664.409
aten::slice	6994.624
aten::squeeze	6125.005
aten::transpose	4167.199
